sentiments,cleaned_review,cleaned_review_length,review_score
negative,have had this less than two months and it doesn work at all after hours of charging computer only recognizes clicks but no movement at all waste ,27,2.0
neutral,stopped working after two months,5,2.0
negative,doesn work at all the two pieces barely even connect let alone to the laptop waste of time and money cheaply made ,22,2.0
neutral,worked great until today scroll wheel no longer works this is not even an item use more than three times month disappointing ,22,1.0
positive,love this mouse so easy to use simple set up ,10,5.0
positive,this is cute and slim and love that don have to replace batteries just charge it up when my computer is not in use use it for web browsing as well as basic gaming ,34,3.0
negative,absolutely terrible the adapter doesn stay in the computer the mouse doesn charge not single good thing about it,19,3.0
neutral,a dependable mouse for regular use not gaming thank you for smooth transaction ,13,1.0
positive,tiny great for laptop size ,5,1.0
negative,after couple months my mouse died don buy this thing ,10,2.0
positive,i love the design and ease of use older so am used to using mouse this works perfectly ,18,5.0
neutral,didn work very well from the very beginning then it was dropped in water dried out and was even worse ,20,5.0
neutral,charge doesn last long at all feels cheap works for my year old to use but nothing would keep for myself ,21,2.0
neutral,very fragile when dropped ,4,1.0
neutral,the mouse is cute and work but do feel like there is some delay especially when im working between monitors ve been using this mouse for little over month now and the right click just broke randomly so theres that ,40,1.0
negative,literally bought it today it connected at first and upon turning it off after and turning it on it did not want to connect at all gave it full charge and the battery only lasted up for min very disappointed,40,2.0
neutral,scroll is not working properly after months of usage undoubtedly battery is very good though ,15,5.0
negative,after using this product for only about hour the wheel broke so you can not use that feature very poor quality would not recommend this product ,26,5.0
negative,it not the best you get what you pay for ,10,4.0
positive,this mouse is the best it got quiet click and has sleep mode as well highly recommend ,17,5.0
negative,i initially really enjoyed this mouse it is good size the battery life is reasonable and sucker for anything that lights up rainbow do wish that you could turn on just the mouse and not the lights without there being constant red light however after using the mouse for less than months the scroll wheel stopped working and can figure out why ve tried cleaning it out recharging the battery and adjusting my driver settings with no luck definitely frustrated and because my return window has past not sure how to reach out to customer service ,96,1.0
neutral,i was excited to get mouse that was usb charge instead of batteries ive charged it once and it worked great for about week which is awesome but have been trying to charge it now for days and it will not accept charge im past my return window and cannot get my money back or exchange it for new one this is big bummer ,64,5.0
neutral,didn even work sensitivity way to fast,7,1.0
neutral,i just got this mouse and doesnt even turn on after charging the usb plug does not work as well this just isnt good buy if was you would go for different one cause its waste of money so just save it and look for different one,47,1.0
neutral,if you can spend the extra money and buy something little better quality,13,5.0
neutral,worked for couple months doesn anymore,6,4.0
neutral,i ve been through two of these mice the first one lasted only one day before the scroll wheel stopped working opted for an exchange but the new one had the same issue after about weeks looking through reviews it seems to be common issue returning this for another brand ,50,1.0
negative,i love this mouse but am so bummed it broke after months the roller ball completely stopped working but at least could still use the mouse to navigate the screen ,30,5.0
negative,scroll wheel completely stopped working after two months the power cord also stopped charging the mouse after few weeks of use complete waste of money ,25,5.0
positive,i was stunned by the quality of this great wireless mouse with charging port it never needs battery since it is built in ve used the mouse for months and without recharging it goes and goes winner ,37,2.0
neutral,it worked fine and then stop bought two hope the other one doesn died too,15,1.0
positive, pros quiet smooth no delays or lagging issues so far pretty colors when not moving the mouse cons seems bit cheap little flatter than like doesn fit naturally to my palm so it makes it uncomfortable the red optical light shines through the other pretty colors when you re moving the mouse want to see the various colors even when moving the mouse not red led light shining through which is overpowering some of the colors shine all throughout and for much longer while others barely show the right side of the mouse right handed doesn emit the colors as vividly as the left side next to my thumb one small section is almost inoperative ll probably be returning it as have bought another mouse that also changes colors and it doesn emit the red led like this one it was super cheap fortunately in case keep it who knows guess you get what you pay for ,157,5.0
neutral,i loved this mouse at first however after just one one of using it it just stopped working one day even after being charged the night before nothing seemed to bring it back to life very disappointed as am outside of the return window by one week definitely do not recommend ,51,5.0
neutral,mouse was working fine for about week now the middle button to scroll stop working,15,1.0
negative,i am big on reviews peoples honest opinions when it counts as for style it nice mouse but for the main purpose of the mouse it is not good even if it completely charged it will only work for about minutes before it starts to freeze then eventually go dead it very frustrating annoying especially if you work from home would of posted pic but am in the process of returning it don feel like getting it ,77,2.0
positive,i love the rotating colors on the mouse but it doesn run by batteries this seems pretty cool at first because you save money on having to buy double but then you have to think about remembering to charge it if you ve been using it all day non stop it starts to die by the night time other than that think it super cute and it pretty good and accurate with pointing even on shiny surfaces didn have much of an issue ,83,2.0
positive,this worked great for months then it just stopped working it fully charged but won work tryed changing adapter and still doesn work not an expensive mouse but not worth anything if it doesn work ,35,2.0
neutral,it stopped working,3,5.0
positive,they won hold charge,4,5.0
neutral,it works okay but my scrool wheel doesn work and it never jad,13,1.0
positive,love it as it multi functional,6,1.0
positive,got these for the kids chromebook best thing yet kids like the lights and they are easy for them to use ,21,1.0
positive,its good mouse and its different from your standard mouse like the fact it lights up ,16,2.0
neutral,battery lasted less than minutes after charging for hours connected to my laptop just fine ,15,5.0
negative,i bought one of these and in three months it completely stopped working couldn charge it or use it bought second one thinking the first one was bad one and the second one did the same thing buy something more reputable would not recommend buying this product ,47,2.0
positive,this mouse did not work from the get go which is why am certain was not it first owner this mouse was missing the one part it needed to operate usb receiver which is customarily located securely under the unit itself the mouse was halfway in sleeve as if re stuffed back into it original packaging returning this immediately,59,1.0
neutral,it works fine just seems little cheap and not real comfortable ,11,3.0
neutral,long lasting battery ,3,5.0
negative,this mouse came broken very upset it was delivered in time but the devise itself was broken the package was opened it wasn even inside the actual box it ridiculous definitely going to get my money back gave it star because had no choice but too ,46,1.0
positive,i very comfortable ergonomically feel internal rechargeable batteries and instant connection while setting up for the first time took less than seconds from taking it out of the box to working the button press is also really smooth and doesn feel like hard click the roller knob at the top is fairly smooth and the transitional led lighting looks really good very happy with this purchase,66,1.0
positive,it was easy to connect and worked great then it worked for while was perfect then it job stopped working out of nowhere,23,5.0
neutral,it states that it has usbc converter but it does not work,12,5.0
neutral,i do like the mouse but the usb connector does not go all the way in to my macbook which is frustrating ,22,5.0
positive,i wanted to love this mouse the first one randomly stopped working for no reason it was past the return window so bought another one hoping it was just fluke or that did something wrong even though sure didn bought second one and that one too stopped working randomly after the return window closed won be buying this again,59,1.0
positive,recharges easy to use use it as my travel mouse would recommend it ,13,3.0
neutral,do not drop the mouse on the floor very sensitive and broke right away after having it for year so this is the second one ordered works very well and has cute colors ,33,1.0
negative,the mouse was decent for the price however now just about weeks out of my return window and the scroll stopped working on the mouse days ago was hoping it was random temporary issue but it seems it permanent disappointed that can at least return or exchange the item and now have to go and buy new mouse ,58,5.0
neutral,have had this item since march and now when scroll down using the roller it squeaks and is very annoying,20,1.0
neutral,really liked it at first especially since it charges and doesn need battery but the courser jumps everywhere have accidentally closed out my browser and all my tabs several times once during meet with my boss where was presenting of course now that have definitely decided this mouse sucks and want to return it the window is closed don buy this mouse ,62,5.0
negative,i like that is quiet mouse however one side of the mouse stopped working was going to see if can get an exchange and missed it by days broken in less than month ,33,5.0
neutral,it works,2,1.0
positive,works great,2,1.0
neutral,doesn hold good charge,4,5.0
neutral,the laser is broken it jumps everywhere on the screen ,10,5.0
negative,the mouse seems to work fine and looks nice but arrived very dirty the box being dirty can understand due to shipping but the mouse itself has lint few pieces of pet hair and the track scroll is dirty as if it been used lot it was not described as used but very much appears to be and upset to pay full price for something that has definitely been out of the box ,73,4.0
positive,i bought this mouse for my macbook and it would not even turn on charged it all day and it would not work or connect to my laptop it just flashed red color like the battery was dead and that was that happened save yourself some money and look for another mouse elsewhere should ve just gone to best buy or target ,62,4.0
neutral,worked beautifully for month and then the roller ball broke guess you get what you pay for ,17,1.0
neutral,does not last x,4,1.0
negative,i admit that might have overused it since bought it for my work from home but my sis got similar one which is why bought this one and that one actually lasts days without the need of chargei needed to charge this one multiple times on the day and at one point it just wouldn work even while plugged in so still needed to switch to the old oneit is really disappointing idk if got faulty product or if that is actually the extent of its productivity,87,1.0
neutral,ergonomic for gaming,3,5.0
neutral,the first few weeks it worked great then all of sudden the scroll stopped working and it just spins have to physically grab the side of the page to move down really disappointed ,33,2.0
neutral,stopped working after couple months ,5,2.0
neutral, months later and it does not work ,7,1.0
neutral,i haven used this product for at least day and it is already not working it doesn track properly to my computer this is the worst mouse save your money and don buy this,34,5.0
negative,i purchased gold they sent black tried to send it back but amazon couldn afford gas so the place needed to return it to was inconvenient so kept it big mistake got it at end of april and the scroll portion is already broken sham of mouse and company ,49,1.0
neutral,i have purchased two of this product in the past year one to replace the other on both of the the scroll button stopped working dropped the first one and understood why it stopped working the second one did not drop it just quit working after months cute and light weight but not long lasting enough for me ,58,5.0
neutral,function well at work still ,5,2.0
negative,horrible quality the wheel stopped working only after few hours it is very light and feels very cheap ,18,2.0
negative,my first concern is that it does not give you warning when it needs recharging it just dies out if you are using your usb for something else you have to stop what you are doing to plug in the mouse second the charge does not last long very frustrating and now the most important it died just stopped working oh well so much for fancy going back to battery operated mouse ,72,1.0
positive,the title of my post says lot also like how lightweight it is it very responsive to movement but not overly so it as good wireless mouse as ve ever had ,31,2.0
neutral,the mouse itself was wonderful it installed within seconds and was very smooth operating it fit well in my small hand and there was no clicking noise wish it worked out as liked the mouse itself the only issue is not the mouse itself but my sensitivity to the led optical lights got migraine from it the led light can be turned off so that in itself could be remedied but the optical light which is bright red showed through the side lights the gap between the switches and the dpi option switch there was no way of blocking the light was really sad had to return it ,108,1.0
positive,works as expected love this mouse ,6,1.0
negative,i work from home and work hours day depending if do overtime or not so needed mouse because my wireless mouse of years was dying now got this mouse in hopes it would work great because of all the reviews the first day got this mouse it was very uncomfortable so right off the bat knew didn like flat mouses because it was cramping my hand second the cursor was glitching unfortunately cannot attach video because it would be on company property and don have personal computer ll have it on one side of the screen and automatically it will go to the other if you like mouses like this and can deal with the glitching then that fine but for me hated it very frustrating ,126,4.0
negative,good size and shape but unfortunately the scrolling wheel broke un the first month ,14,3.0
negative,started off great but the charge stopped working couldn tell if it needing charging one day it didn turn on left it to charge while it was off and on hours each way and it still wouldn hold charge or turn on battery ended up exploding and started leaking acid overall horrible product,53,3.0
negative,it worked for the first hour bought it went to charge it it no longer works turns on or charges ,20,1.0
neutral,works as mouse should work ,5,1.0
neutral,in the second week it stoped to work and the item is very light wouldn never buy it again or from this seller,23,1.0
neutral,real good and the charge last lot ,7,1.0
positive,it is so nice to use it with my laptop,10,2.0
positive,the mouse seemed nice when got it and has great feel in your hand with quiet clicks however after weeks of every other day use the scroll wheel stopped working returned it for replacement and now weeks after receiving the replacement that scroll wheel has also stopped working because the original purchase was outside the return window return was not possible would not buy again and am going with different product from different seller manufacturer ,75,5.0
neutral,the scroll wheel broke,4,5.0
positive,the best ergonomic and lightweight feels comfortable after hours of use at my laptop fits perfectly in the pocket of laptop bag not bulky like others ve tried stays charged for long time love the color ,36,5.0
positive,it slim not bulky works well with my laptop love the lights great buy,14,1.0
positive,you dont hear any clicking like normal mouses which is nice the color is good and smooth as well my only complaint is you have to move it back and forth sometimes to wake it up rather than that its perfect mouse when its awake ,45,1.0
positive,it seems to work fine so far the lights around the side are constantly red until well charged but then they rotate very easy to set up but does not seem to work when wired ,35,5.0
neutral,mouse worked great was easy to connect and use but stopped working and had to throw it away after months of use stopped charging stopped working all together ,28,5.0
neutral,looks so cheap didn even work properly ,7,1.0
negative,this mouse stops working even when fully charged and the light on the bottom is on this did not start happening until weeks after the return window ended would not recommend buying this for these reasons it was waste of money ,41,5.0
positive,i love the colors ,4,1.0
neutral,purchased december quit working may will not hold charge and will not turn on ,14,1.0
neutral,you get what you pay for guess they were great at first but then one of them the usb port bent and broke and took the jaws of life to pull out of our usb port the second one the top of the mouse fell off ,46,1.0
neutral,its not wireless use the mouse for my hp elitebook and the only way can use it if have the charger connected,22,3.0
positive,the mouse arrived today easy to set up so far it is working properly like the fact that it rechargeable no more aa battery to replace ll have to get use to its size lot shorter than my old morosoft mouse hope it lasts as long as the old mouse time will tell ,53,5.0
neutral,work very slow,3,5.0
neutral,scroller is squeaky and makes noise seems loose,8,1.0
negative,poor quality difficult to replace battery,6,5.0
positive,i really liked the mouse at first it matched perfectly and was very convenient first thing noticed was how plasticy it was that didn bother me tho one day as was using the mouse to scroll the little scroll wheel fell into the mouse tried to fix it and couldn wasn pressing hard on it and it always stayed on my desk its cute mouse love the look of it but it is very cheaply made and will most likely break ,81,5.0
neutral,not sure why this died after couple months of use but it is no longer working bummer because it was super cute and added to my office aesthetic ,28,3.0
neutral,it cool looking mouse but only lasted months until it stopped working ,12,2.0
neutral,it was good for the three days before it diedbad product or quality control at least it was not expensive ,20,2.0
positive,honestly it far less heavy than would ve liked don feel as though this will be adequate for long term gaming but it ll be alright for web surfing or writing it also fairly small then again have pretty large hands for the price couldn ask for much more but do think it important to inform people of its cons regardless of how cheap it is also it does work with macbook air despite the one star reviews you have to connect the receiver to the adapter it takes good bit of force and then plug it into the computer wish the instructions could ve been more clear about that but it whatever ,113,1.0
neutral,this mouse is just trash it lifespan is days stopped working just days after the return window closed don recommend purchasing if you want something that is actually functional and long lasting getting tired of amazon allowing vendors sell junk without recourse ,42,3.0
negative,didn realize that there wasn place to put battery in so it always had to be charged after two or three weeks could no longer charge it and could not have it work cheaply made would not recommend if you need it long term or if you spend lot of time on the computer,54,5.0
neutral,while working with macbook pro frequently mouse is getting disconnected need to take the dongle out and then attach for reconnection wouldn recommend if you are using type port ,29,1.0
neutral,worked for minutes the first time turned on the mouse and then it just completely stopped working with my macbook charged it for days and still does not work ,29,1.0
positive,i loved the product ,4,2.0
positive,great product,2,1.0
negative,pretty but the quality is very poor it is rechargeable which was selling point but the quality isn there ,19,1.0
positive,i use this mouse for my laptop love that it super smooth and very quick ,15,1.0
positive,very comfortable and feels great,5,1.0
positive,charged up quickly in little over an hour looks great feels great but the scrolling wheel does not work looking at it closely it looks like the wheel is slightly off center it spins freely like it isn connected to anything back it goes ,44,2.0
neutral,the scroller doesn work mouse feels generic,7,2.0
positive,just so you know loved the simple amazon wireless mouse but our cats kept knocking it off the table and the battery cover would come off over and over stupid cats but now with this mouse the battery is rechargeable the cats can tear it apart and it has cool lights on it the function is good the price was low everything is solid so recommend it ,67,1.0
negative,i ve only had this for few months now and it is completely broken the scroll feature lost its traction and no longer works the battery life wasn great and it never worked flawlessly need new mouse now ,38,4.0
neutral,i don like that need to replug it in my laptop to get it to work every time use it,20,1.0
neutral,i like,2,4.0
neutral,this is clean simple design completely simple to install ,9,2.0
negative,horrible just horrible,3,1.0
positive,great mouse nothing super fancy comfortable to use the lights are pretty cool but there is an option to not have them on which is great to extend battery life holds charge really well and will still work with the usb charger plugged in if necessary plugged in to different computers and worked immediately on both seems quite reaponsive but only use it for general computer work so dont know how it would work for gaming all in all great mouse for decent price will update if anything changes,89,1.0
neutral,mouse is fine but needs frequent charging,7,5.0
positive,perfect,1,1.0
positive,i have not had this mouse for little over days love the feel of the mouse and how sleek it is however no matter how much charge the mouse it stops responding after about minutes of use have found myself removing the dongle from my laptop several times day just to make the mouse respond bought the mouse to improve my work functionality to no avail ,66,1.0
neutral,this item only worked for less than days it was going well and then stopped holding charge,17,1.0
negative,i got this mouse aprilth and it just stopped working may th so cannot return it loved this mouse but sad it stopped working,24,5.0
neutral,just got the item today everything works out great but the usb could not fit into the adapter neither could any other usb as seen in the picture they all try to go in sideways and thats why they wont fit so even though the product works just fine am unable to use it which is why its three star regardless if you have normal usb ports this product will work just fine ,73,5.0
positive,works well very responsive,4,5.0
neutral,it worked good at first but it will not respond anymore even after being fully charged waste of money it cute though good thing it stopped working right away so can still return it ,34,3.0
positive,this product does not work with my macbook air it worked last night when first opened the box and it already won keep charge or charge at all buyer beware ,30,5.0
positive,worked great very pretty aquamarine color easy you use precise and then suddenly died today stop charging so after few months it departed this world without sound not worth it wish it did going to order from another maker ,39,5.0
positive,complete junk never worked don waste your money because it pretty,11,5.0
neutral,got this to try to alleviate hand pain from using traditional mouse helped enough shape wise but the battery is so short that it doesn last day was using for work so that is problem ,35,1.0
positive,the mouse came as described with the option chose however after letting it charge for the recommended time before use it would not connect to my computer turned it off and then back on and it worked for about minutes within that minutes only showed one color the whole time it never worked again afterwards just went and bought mouse from walmart and it works like perfect even more sturdier than this one don waste your money on this ,79,3.0
negative,don waste your money on this mine stop working within the first month of having it ,16,1.0
neutral,dies way too quickly the product itself is so light and feels cheaply constructed wish could have returned it ,19,3.0
positive,have to charge it twice day at least it is not comfortable too small to fit nicely in my hand the flow is choppy the cursor sticks it feels cheap like it is going to break at any second ,39,5.0
negative,don waste your time horrible quality and does not work with macbook air,13,2.0
negative,after only months my mouse no longer works am so upset because loveddddd this mouse it slim and fits in my laptop bag easily and everything it checked off everything on my list but no matter how long charge it now it will flash and stop working so sad and now the return window has passed and now can even return it ,62,1.0
neutral,the mouse is very good and love the colors but it seems to go into sleep mode way too often unfortunately my mouse stopped working after few weeks after purchase ,30,1.0
neutral,stopped working after months trash,5,1.0
neutral,mouse was advertised as quiet but it is far from quiet it has the loudest sound have ever heard from mouse when clicking the middle button disappointed in the clearly false advertising ,32,5.0
positive,fits my hand perfectly the color changing lights are fun addition to every day boring mundane task the black mouse is sleek and soft love it,26,1.0
negative,i was so excited this mouse looks beautiful but it was one of the most frustrating devices have ever used when clicking to wake it up it would click on whatever may be on the screen at the moment including email or im drafts that have not yet been reviewed or perhaps written in anger and did not mean to send lol when you wanted to click on something you had to click several times overall frustrating very good return process no questions asked and quick refund that why stars ,90,5.0
neutral,sensor is all whacked out stopped working at days so out the money and have to purchase new mouse don do it,22,2.0
neutral,it stopped working only after months ,6,1.0
negative,its pretty but the charge doesn last long plug it in to my laptop to charge but the laptop shuts down after few minutes and the mouse quits charging there is short charging cord but no adaptor to plug it into the wall and it says not to use cell phone charging adaptors so recharging was pain ,57,1.0
neutral,the scroll broke within hours of taking out of package can still use it to open tabs but can scroll ,20,5.0
negative,terrible product does not work well glitches causes cursor to makes sudden unintended changes in direction without in use would not recommend,22,3.0
negative,i received of these for christmas they both stopped working within the first weeks of having them emailed customer service as they tell you to and never got response emailed them twice junky and waste of money for the purchaser who gifted them to me ,45,4.0
neutral,i was bit too busy with work and school and missed my window to return this item the quality of the mouse and usb plug is just horrible ordered the mouse with urgency to get power point project done for schooland had to run to local discount store to purchase another mouse because the usb piece fell apart and after careful putting it back together the mouse won connect over got about minutes of use fromthis product ,77,1.0
positive,i gave gaming star because don do gaming the mouse is worth every penny love how it feels love that it makes no noise you must use mouse pad ,29,5.0
negative,this mouse only worked for weeks then it died very disappointed,11,5.0
neutral,stopped working very conveniently after return window had closed ,9,1.0
positive,won recharge lasted not even week ,6,3.0
positive,great price great product,4,5.0
negative,tends to lose juice quickly and not so great with my macbook pro another mouse added to the boneyard,19,1.0
positive,great product,2,1.0
positive,this was great value and the wireless mouse works well the colors are fun too just wish it had way to keep it on one color ,26,1.0
positive, super cute for the office love the one lights ,9,5.0
positive,this product is cheap and does not last long after only one day of use plug it into the outlet and it does not turn on needed gaming mouse and this one is definitely not it extremely upset,38,2.0
positive,the type extension doesn work so it rendered it useless for my mac am able to use it on my pc for work just not the intended use bought it for the mouse itself is great light easy to use fits perfectly in my hand always connects and is reliable ,50,5.0
positive,my son uses it at school he is years old when asked him this he said it good better than my other one that it,25,3.0
neutral,like other reviews stated this mouse is super nice smooth and looks neat but lasted just over the day return window put it on charge for the th time since had received it and the blue light comes on indicating it is charging and goes off some time later indicating it is complete when you switch it on the red light flashes and then goes off highly disappointing ,68,5.0
neutral,the item would charge but then would not turn on or work at all in the computer,17,1.0
positive,it nice sleek mouse and works relatively well until it stops charging had bought it early march this year and now early may it won charge making it hunk of useless plastic buy with the expectation you will have to buy again and not very long thereafter ,47,1.0
neutral,i bought my mouse few months ago and it was working just fine now the scroll wheel sunk into the mouse and stopped working ,24,5.0
positive,i tried to get my daughter nice mouse for her minecrafting and man what waste of this mouse was it connected to its included dongle just fine but almost broke nail taking the dongle out of the mouse body if you don have something slim to wedge in between the dongle and the mouse body prepare for some ouchies do you like the rainbow effect well hope you also enjoy less than day of battery life is your battery dead now welp can charge and use the mouse at the same time do you think it be nice to use long braided usb cord as wire for this mouse nope the micro usb only supports charging not data don hate yourself don get budget mouse if you want good mouse for roughly more check out the razer basilisk it supports bluetooth usb and it has excellent battery life my son uses it every day for minecraft roblox youtube and purchased it at the end of january it is now mid may and ve changed its single aa only once you won be disappointed ,183,2.0
positive,my daughter loves it cute color and works great ,9,2.0
neutral,piece of junk doesn work probably why it on sale ,10,1.0
neutral,it stopped working after months right in the middle of my shift at work ,14,1.0
neutral,good product,2,1.0
neutral,we bought this for my son to use and it lasted months before the scrolling wheel broke ,17,5.0
neutral, it cute and light weight but one drop and it done for literally dropped it once and it now doesn work ,21,5.0
positive,love the sleek design easy set up fast charging and most importantly how quiet the mouse isit not the most ergonomic mouse and it lacks wrist support so have to stretch lot more but as long as you re not gaming this mouse is great ,45,4.0
neutral, for usd you can go wrong ,6,1.0
neutral,the mouse started off great even got two one for me and one for my son they both failed about the same time it charges for hours and then when switch it on it has double red blink and does not react same thing when plugged in ,47,3.0
negative,it broke at the first fall and it was not big fall the inner clips on broke and the other twisted so am unable to close it and simpler does it work ,32,3.0
neutral,i liked the color and the lights but unfortunately the scroll wheel went out on me this item only lasted me little over months ,24,4.0
negative,laptop slipped of my lap and obviously landed on thw protuding hardware troubling as have much to do ive not acustomed to the finger pad ,25,1.0
neutral,had troubles connecting when it did finally connect the cursor never appeared only the clickable buttons worked and would access random menus returned for full refund ,26,2.0
positive,love it fyi use the usb under mouse and push hard no clear instructions,14,2.0
neutral,it doesn charge anymore ,4,3.0
negative,i was very disappointed when the mouse stopped responding after few weeks of using it,15,1.0
neutral,i ve had this mouse for months and the wheel broke it the second mouse ve gotten like it and that other mouse wheel broke it much be cheap plastic it looks nice felt nice but not worth it when you have to buy one every months,47,5.0
positive,this has been great addition to my gaming set up it perfect size for my year old who loves using it for homework,23,5.0
neutral,the mouse started off okay it worked like it should for few weeks but then the battery would not make it through my work day the charge lasted less each time until suddenly it stopped holding charge like other reviews state it stopped working literally days after the return window closed ll be buying name brand mouse now ,58,5.0
positive,this is the best mouse super quite and small love it so much the colors are fabulous ,17,4.0
positive,perfect size for small hands,5,5.0
positive,i bought this mouse for my work laptop the right click on the mouse is constantly getting stuck and the left click seems to take several pushes before it recognizes what it is supposed to do overall wouldn buy this again would definitely recommend spending allitle more and getting better mouse to get the job done ,56,5.0
neutral,this mouse is cheap and like the colors but the laser isn accurate so it can be slow and laggy occasionally its entirely unresponsive ,24,3.0
positive,love this mouse,3,1.0
neutral,i bought this as wireless mouse have used it for less than month and it doesn hold charge unless it plugged in will be returning it and do not recommend this product ,32,1.0
neutral,just didn work for me could not plug into my chromebook ,11,1.0
neutral,worth it,2,5.0
negative,very disappointed the mouse doesn hold charge even if you leave it on for short period of time while not using it you must recharge it would not buy again ,30,4.0
negative,i returned the same day received very poor quality and requires cord to charge no battery,16,1.0
neutral,this lightweight mouse worked fine for about three weeks then it stopped working would plug it in to charge and after about seconds it would stop charging no charge no power disappointing ,32,2.0
neutral,cheaply made breaks after on use if you want to waste your money get it,15,5.0
positive,my other wireless mouse stopped working for some reason and required batteries so had to get another one love that it is rechargable and has the lights the lights change each time you touch the mouse on its side thats cool also love how the top of the mouse is so smooth and the gold color is actually shiny didnt know before buying but it has sleep mode so thats great for if forget to turn it off have to double check the manual but there are switches and dont know what the middle switch is for since the mouse hasnt worked in that function think its cool too that they include the adapter if you need to plug it into usb port to connect to your device honestly like it only other thing is im not sure how know when its dying again may be in the manual ,149,4.0
positive,i ve loved this mouse since bought the first one will continue to use it,15,2.0
positive,i needed really simple mouse for my laptop so got nice combination for cheap ease it fits fairly nicely in my hands super slim so it fits in my laptop bag without any issues ,34,5.0
neutral,accent lights make it easy to find after days the scrolling wheel failed not good buy ,16,5.0
neutral,it worked very well till it didn anymore bought this in january and it won charge or do anything very disappointed,21,5.0
neutral,this was really good mouse quiet clicks very lightweight and it moved smoothly over my mouse pad it fell opened up bit was able to put it clip it back in but after the third fall the ball stopped working but for the price it def worth it long battery life think charged like middle of every other week and used it from weekdays for about hours ,67,1.0
positive,this mouse us nit very comfortable keep hitting the button and bringing up pages don want the cursor jumps sound the page without my moving the mouse charge doesn last long it fun to watch all of the flashing colors ,40,2.0
neutral,cute mouse but that about it very flimsy and poor quality feeling like that it rechargeable ve had this for few months now and it stopped working it charged clean clear of debris and on mousepad but still doesn work for more than few seconds waste of money ,48,5.0
neutral,got mouse for my son the light look cool and it was comfortable no complaints until the trackball quit working after about days contacted the company they communicated well and replaced it very quickly about week later the same thing happened again great communication and no issues with refund so good communication but not the best mouse ,57,5.0
neutral,liked the colors and style east set up but after about weeks of use the scroller stopped working and fell off track only used it few times out of those weeks ,31,5.0
neutral,bought this to use for my mac already on big sur turns out the mouse is only compatible with x,20,5.0
positive,for cheap rechargeable mouse this is great ,7,1.0
positive,nice size comfortable good battery life and plug in play ,10,5.0
neutral,i like that can use the charger it came with to charge it no batteries required ,16,3.0
negative,it work good but not great,6,5.0
positive,use this for my laptop and easy to use and works great very smooth would definitely recommend ,17,1.0
positive,this barely ever needs to be charged for me have online schooling so use the mouse lot and only have to charge it every once and while its very pretty and good for the price makes no sound when clicked which is great ,43,1.0
neutral,it just stopped working out of nowhere mad missed my return date ,12,5.0
neutral,i just received this yesterday and am planning to return it seems very cheaply made product not taking the chance ,20,1.0
positive,so far great purchase bought rose gold and it looks so cute mouse works well slim and compact ,18,5.0
neutral,when plug the usb into the computer it takes away my internet settings cannot connect to the internet and it shows no networks to connect to don know how to fix it ,32,1.0
neutral, chinese junk lasted month,4,4.0
positive,this mouse is great ,4,3.0
positive, so far so good does what it supposed to do worked right out of the box like that don have to buy batteries for it it charges quickly lasts looking time and is compatible with my hp chromebook it has two settings solid red color only when mouse is moving and slow changing rainbow when mouse is moving and or at rest the usb tucks away into the bottom of the mouse which is where you ll find it when you open the box for the first time also comes with an adapter and short charging cable ,97,5.0
neutral,loved the product at first actually bought two after couple weeks they quit charging and now they no longer work ,20,5.0
neutral,ergonomic smooth and quiet this is the third one ve bought and ll never go back to another one charge lasts more than week and never turn mine off,29,2.0
negative,i was using it for my laptop that use for work and school and the mouse stop working in week horrible ,21,1.0
neutral,the mouse doesn work now and am outside the return window disappointed beasue like the feel of the mouse and the sleek design,23,2.0
neutral,love the sleep mode keep my mouse charged when forget to turn it off ,14,1.0
neutral,stopped working days after the day cutoff for returns it worked great while could use it but of course this is unacceptable won buy from this seller again ,28,1.0
positive,i use it for work and it amazing glides very nice am sure it would be perfect for gaming ,19,1.0
neutral,like it lot,3,4.0
neutral,wanted to match my keyboard and not spend too much money this little number is priced just right and the size and shape make it easy to use ,28,5.0
positive, ive had for about year and only used it on occasion it worked pretty good until started using it on regular basis mouse slowly stopped working more and more until now it doesn track any movement at all do not buy unless you want to throw away,47,5.0
neutral,it broke from one say to the next sad cause it was cute and very handy but the product just didn last long at all ,25,1.0
positive,fun and great to use ,5,5.0
positive,it fits my hand and the light show is cool ,10,5.0
neutral,battery charge lasts many many days,6,1.0
positive,i don like using my mouse on my laptop so having mouse is helpful and then it lights up ,19,3.0
neutral,i bought this mouse months ago use it constantly and have yet to charge it for the price point steal ,20,5.0
positive,i have been using this with my work laptop which use hours daily for remote work ve had this for few weeks and only needed to charge once since then really love the feel of it it near silent and very soft click sound when using buttons like the look of it and the lights so know when it in sleep mode turns on and immediately works with one click completely operational when plugged in to charge as well the charge cord is very short but plugged into the laptop to charge it and it was long enough for me to use it right next to the usb port it was plugged into without being nuisance would love for there to be way to see the battery life on the mouse it the only thing would change add very pleased and hope it lasts long while update this mouse is still going strong still love it use it daily for work day days week still love the lights lol my one and only complaint wish we could see the battery life of the mouse have been charging one every couple of weeks just to be safe hate the laptop mouse it does work when plugged in and charging tho so that is nice just prefer wireless im not knocking off stars due to this at all just offering suggestion to somehow let us see the battery life remaining ,238,1.0
